Legislatura,nome parlamentar,total_dias_de_mandato
54,MAGELA,28
54,MAGELA,37
54,MAGELA,302
54,MAJOR FÁBIO,120
54,MAJOR FÁBIO,759
54,MANDETTA,1460
54,MANOEL ANTUNES,30
54,MANOEL JUNIOR,1460
54,MANOEL SALVIANO,1460
54,MANUEL ROSA NECA,758
54,MANUELA D'ÁVILA,513
54,MANUELA D'ÁVILA,820
54,MARA GABRILLI,1460
54,MARÇAL FILHO,1460
54,MARCELINHO CARIOCA,29
54,MARCELO AGUIAR,1460
54,MARCELO ALMEIDA,414
54,MARCELO ALMEIDA,51
54,MARCELO CASTRO,1460
54,MARCELO GUIMARÃES FILHO,121
54,MARCELO MATOS,1460
54,MARCIO BITTAR,1460
54,MÁRCIO FRANÇA,2
54,MÁRCIO FRANÇA,926
54,MARCIO JUNQUEIRA,271
54,MARCIO JUNQUEIRA,152
54,MARCIO JUNQUEIRA,122
54,MARCIO JUNQUEIRA,31
54,MÁRCIO MACÊDO,1460
54,MÁRCIO MARINHO,1460
54,MARCIO REINALDO MOREIRA,700
54,MARCO MAIA,1460
54,MARCO TEBALDI,29
54,MARCO TEBALDI,1066
54,MARCON,1460
54,MARCOS LIMA,25
54,MARCOS MEDRADO,526
54,MARCOS MEDRADO,812
54,MARCOS MONTES,1460
54,MARCOS ROGÉRIO,1171
54,MARCUS PESTANA,1460
54,MARCUS VICENTE,25
54,MARGARIDA SALOMÃO,758
54,MARIA DO ROSÁRIO,1
54,MARIA DO ROSÁRIO,304
54,MARIA LUCIA PRANDI,305
54,MARINA SANTANNA,236
54,MARINA SANTANNA,21
54,MARINA SANTANNA,364
54,MARINA SANTANNA,54
54,MARINA SANTANNA,292
54,MARINA SANTANNA,27
54,MARINHA RAUPP,1460
54,MÁRIO DE OLIVEIRA,23
54,MÁRIO DE OLIVEIRA,306
54,MÁRIO DE OLIVEIRA,185
54,MÁRIO DE OLIVEIRA,10
54,MÁRIO FEITOZA,173
54,MÁRIO FEITOZA,759
54,MÁRIO HERINGER,250
54,MÁRIO HERINGER,35
54,MÁRIO HERINGER,119
54,MÁRIO NEGROMONTE,1
54,MÁRIO NEGROMONTE,853
54,MARLLOS SAMPAIO,1460
54,MASSAMI MIKI,11
54,MAURÍCIO ALMEIDA,26
54,MAURÍCIO DZIEDRICKI,7
54,MAURÍCIO QUINTELLA LESSA,1460
54,MAURÍCIO RANDS,14
54,MAURÍCIO TRINDADE,702
54,MAURÍCIO TRINDADE,44
54,MAURÍCIO TRINDADE,132
54,MAURO BENEVIDES,1460
54,MAURO LOPES,1460
54,MAURO MARIANI,1460
54,MAURO NAZIF,700
54,MAX FILHO,30
54,MENDES RIBEIRO FILHO,203
54,MENDES RIBEIRO FILHO,141
54,MENDONÇA FILHO,1460
54,MENDONÇA PRADO,1460
54,MIGUEL CORRÊA,1431
54,MILTON MONTI,1460
54,MIRIQUINHO BATISTA,1460
54,MIRO TEIXEIRA,1460
54,MISSIONÁRIO JOSÉ OLIMPIO,1460
54,MOACIR MICHELETTO,363
54,MOREIRA MENDES,1460
54,NARCIO RODRIGUES,1
54,NARCIO RODRIGUES,45
54,NARCIO RODRIGUES,75
54,NATAN DONADON,940
54,NAZARENO FONTELES,1155
54,NEILTON MULIM,699
