distancia,vagas,eleitores,cota,valor
1524,18,4537237,41779.83,506631.31
620,8,996887,39131.75,671315.76
1791,8,455514,43002.92,430883.74
2246,8,547680,44260.60,341733.26
1775,8,2327451,42360.13,325699.32
1060,39,10393170,38638.99,1563607.83
1314,16,5070212,39505.92,483116.38
1060,39,10185417,38638.99,1429756.37
1313,10,2370894,40599.91,450580.40
1524,18,4537237,41779.83,482836.51
620,8,1039439,39131.75,427833.64
624,53,15248681,35720.85,1945921.57
0,8,1897677,30416.80,475932.08
873,8,2189703,39056.17,291348.43
947,10,2653536,37052.05,542265.88
0,8,1897677,30416.80,270770.29
1485,9,1995727,40572.24,346456.56
1932,8,2428098,43198.26,142323.65
2496,8,333464,45240.67,366263.03
1060,39,10393170,38638.99,1497380.55
2496,8,333464,45240.67,146990.98
1775,8,2327451,42360.13,386224.13
1314,16,4859324,39505.92,601032.19
1592,17,5499283,41855.59,541113.63
947,10,2653536,37052.05,329249.67
933,46,12141145,35388.11,1299357.81
1592,17,5188450,41855.59,719809.29
1060,39,10393170,38638.99,1480202.74
1292,8,1454165,39767.40,315935.53
2496,8,299558,45240.67,384059.51
947,10,2754728,37052.05,429707.41
1485,9,1995727,40572.24,245515.22
1619,31,8392033,40504.04,1382053.92
1716,12,2867649,41660.70,315390.36
2246,8,506724,44260.60,300913.64
1060,39,10185417,38638.99,1504969.39
1900,8,1175733,43300.63,164077.86
1485,9,2187967,40572.24,328074.86
2246,8,506724,44260.60,286605.61
878,8,1877982,40170.98,332282.66
1313,10,2345694,40599.91,368609.01
173,17,4454497,35135.20,384980.25
1314,16,4859324,39505.92,551328.81
873,70,33040411,36671.67,1814521.93
1687,22,6344483,42079.91,770677.97
1313,10,2370894,40599.91,410025.54
947,10,2653536,37052.05,369328.84
1081,30,7865950,38500.00,1164834.19
873,8,2189703,39056.17,274948.78
878,8,1877982,40170.98,203693.83
947,10,2754728,37052.05,287299.03
1775,8,2327451,42360.13,296392.44
1313,10,2370894,40599.91,263306.79
873,70,31998432,36671.67,1714129.97
1619,31,8354732,40504.04,1171042.81
1687,22,6271554,42079.91,761040.28
1619,31,8392033,40504.04,1204782.62
0,8,2084356,30416.80,138091.65
1485,9,2187967,40572.24,355163.86
1775,8,2373619,42360.13,253520.87
1081,30,7865950,38500.00,1130845.53
1687,22,6271554,42079.91,796415.22
1791,8,512110,43002.92,396452.74
1314,16,4859324,39505.92,672122.51
1524,18,4497336,41779.83,678305.50
1657,25,6570072,41304.94,1215173.68
