ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2015,55,1,AC,DEM,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,2246,8,506724,44260.60,9364.25
2017,55,3,AC,PSB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,2246,8,506724,44260.60,1367.15
2017,55,3,AC,PSB,MANUTENÇÃO DE ESCRITÓRIO,34,2246,8,506724,44260.60,489.50
2016,55,2,AC,PCdoB,COMBUSTÍVEIS E LUBRIFICANTES,10,2246,8,506724,44260.60,18403.79
2016,55,2,AC,MDB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,65,2246,8,506724,44260.60,2433.24
2019,55,5,AC,PSB,TELEFONIA,34,2246,8,506724,44260.60,0.38
2018,55,4,AC,PSDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,54,2246,8,506724,44260.60,1334.00
2016,55,2,AC,MDB,COMBUSTÍVEIS E LUBRIFICANTES,65,2246,8,506724,44260.60,131422.20
2015,55,1,AC,PT,PASSAGEM AÉREA,68,2246,8,506724,44260.60,420147.75
2019,55,5,AC,PT,PASSAGEM AÉREA,68,2246,8,506724,44260.60,15941.99
2016,55,2,AC,MDB,DIVULGAÇÃO MANDATO,65,2246,8,506724,44260.60,288515.00
2017,55,3,AC,PCdoB,TELEFONIA,10,2246,8,506724,44260.60,4104.94
2015,55,1,AC,PSDB,SERVIÇOS POSTAIS,54,2246,8,506724,44260.60,1109.69
2015,55,1,AC,PT,COMBUSTÍVEIS E LUBRIFICANTES,68,2246,8,506724,44260.60,142628.83
2019,55,5,AC,PT,DIVULGAÇÃO MANDATO,68,2246,8,506724,44260.60,41000.00
2018,55,4,AC,PT,ASSESSORIA TÉCNICA/JURÍDICA,68,2246,8,506724,44260.60,53800.00
2015,55,1,AC,PSDB,MANUTENÇÃO DE ESCRITÓRIO,54,2246,8,506724,44260.60,6856.39
2017,55,3,AC,PT,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,2246,8,506724,44260.60,11544.93
2016,55,2,AC,MDB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,2246,8,506724,44260.60,4470.00
2017,55,3,AC,PT,DIVULGAÇÃO MANDATO,68,2246,8,506724,44260.60,330065.00
2016,55,2,AC,PSDB,DIVULGAÇÃO MANDATO,54,2246,8,506724,44260.60,246674.80
2017,55,3,AC,PSB,DIVULGAÇÃO MANDATO,34,2246,8,506724,44260.60,52800.00
2018,55,4,AC,PSB,PASSAGEM AÉREA,34,2246,8,506724,44260.60,231701.62
2015,55,1,AC,DEM,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,21,2246,8,506724,44260.60,6598.52
2016,55,2,AC,PCdoB,LOCAÇÃO DE AUTOMÓVEIS,10,2246,8,506724,44260.60,20112.62
2019,55,5,AC,DEM,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,21,2246,8,506724,44260.60,189.90
2019,55,5,AC,PSD,PASSAGEM AÉREA,36,2246,8,506724,44260.60,2158.39
2018,55,4,AC,PCdoB,PASSAGEM AÉREA,10,2246,8,506724,44260.60,20635.51
2019,55,5,AC,MDB,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,65,2246,8,506724,44260.60,266.00
2016,55,2,AC,PSDB,COMBUSTÍVEIS E LUBRIFICANTES,54,2246,8,506724,44260.60,47997.85
2018,55,4,AC,PT,LOCAÇÃO DE AUTOMÓVEIS,68,2246,8,506724,44260.60,266364.40
