"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"159484","2016","4","55","2","RR","PODEMOS","PASSAGEM AÉREA",9,2496,8,299558,45240.67,8854.93,"1981"
"152924","2016","4","55","2","RO","MDB","TELEFONIA",65,1900,8,1127154,43300.63,3473.45,"1904"
"119732","2016","4","55","2","PI","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1313,10,2345694,40599.91,5597.83,"1507"
"60352","2016","4","55","2","MA","MDB","ASSINATURA DE PUBLICAÇÕES",65,1524,18,4497336,41779.83,642.28,"800"
"121228","2016","4","55","2","PR","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1081,30,7865950,38500,99.6,"1534"
"68777","2016","4","55","2","MG","PSL","TELEFONIA",1,624,53,15248681,35720.85,2309.2,"911"
"65221","2016","4","55","2","MG","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,624,53,15248681,35720.85,607.64,"850"
"12390","2016","5","55","2","AM","PDT","SERVIÇOS POSTAIS",20,1932,8,2226891,43198.26,115.29,"155"
"84150","2016","5","55","2","MT","MDB","SERVIÇOS POSTAIS",65,873,8,2189703,39056.17,349.61,"1045"
"85151","2016","5","55","2","MT","DEM","PASSAGEM AÉREA",21,873,8,2189703,39056.17,19090.59,"1076"
"154099","2016","5","55","2","RO","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1900,8,1127154,43300.63,10900,"1918"
"3418","2016","5","55","2","AC","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,2246,8,506724,44260.6,16135.34,"28"
"167660","2016","5","55","2","RS","REDE","TELEFONIA",NA,1619,31,8392033,40504.04,1361.79,"2131"
"94273","2016","5","55","2","PA","DEM","TELEFONIA",21,1592,17,5188450,41855.59,722.28,"1152"
"124402","2016","5","55","2","PR","PDT","TELEFONIA",20,1081,30,7865950,38500,643.37,"1571"
"113163","2016","5","55","2","PE","MDB","DIVULGAÇÃO MANDATO",65,1657,25,6356307,41304.94,8000,"1387"
"179085","2016","6","55","2","SC","CIDADANIA","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",10,1314,16,4859324,39505.92,182.28,"2135"
"197447","2016","6","55","2","SP","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,873,70,31998432,36671.67,23389.89,"2354"
"44364","2016","6","55","2","ES","MDB","PASSAGEM AÉREA",65,947,10,2653536,37052.05,2333.89,"561"
"195557","2016","6","55","2","SP","PP","DIVULGAÇÃO MANDATO",38,873,70,31998432,36671.67,3439,"2318"
"108845","2016","6","55","2","PE","PDT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",20,1657,25,6356307,41304.94,149.22,"1253"
"165389","2016","6","55","2","RS","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1619,31,8392033,40504.04,1444,"2023"
"151237","2016","6","55","2","RN","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1775,8,2327451,42360.13,1192.37,"1821"
"182162","2016","6","55","2","SE","PSC","ASSESSORIA TÉCNICA/JURÍDICA",13,1292,8,1454165,39767.4,1100,"2193"
"96309","2016","6","55","2","PA","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1592,17,5188450,41855.59,4827.29,"1160"
"111692","2016","7","55","2","PE","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1657,25,6356307,41304.94,6000,"1296"
"139578","2016","7","55","2","RJ","REDE","SERVIÇOS POSTAIS",NA,933,46,12141145,35388.11,54.46,"1727"
"81010","2016","7","55","2","MS","DEM","PASSAGEM AÉREA",21,878,8,1818937,40170.98,16241.81,"980"
"127366","2016","7","55","2","PR","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1081,30,7865950,38500,9838.92,"1569"
"133275","2016","7","55","2","RJ","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,933,46,12141145,35388.11,914.1,"1596"
"43558","2016","7","55","2","ES","PP","LOCAÇÃO DE AUTOMÓVEIS",38,947,10,2653536,37052.05,13450,"550"
"195713","2016","7","55","2","SP","PL","TELEFONIA",34,873,70,31998432,36671.67,8735.92,"2284"
"8845","2016","7","55","2","AL","PP","TELEFONIA",38,1485,9,1995727,40572.24,1366.74,"103"
"162310","2016","7","55","2","RS","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1619,31,8392033,40504.04,5359.78,"1920"
"198171","2016","8","55","2","SP","PL","TELEFONIA",34,873,70,31998432,36671.67,8479.61,"2370"
"163442","2016","8","55","2","RS","PT","MANUTENÇÃO DE ESCRITÓRIO",68,1619,31,8392033,40504.04,49137.46,"1979"
"182189","2016","8","55","2","SE","PT","PASSAGEM AÉREA",68,1292,8,1454165,39767.4,6926.91,"2201"
"97300","2016","8","55","2","PB","PL","SERVIÇOS POSTAIS",34,1716,12,2835882,41660.7,213.07,"1168"
"177513","2016","8","55","2","SC","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1314,16,4859324,39505.92,99,"2106"
"97126","2016","8","55","2","PB","PROS","TELEFONIA",11,1716,12,2835882,41660.7,1328.12,"1164"
"110196","2016","8","55","2","PE","PL","TELEFONIA",34,1657,25,6356307,41304.94,1586.96,"1298"
"68714","2016","8","55","2","MG","PL","LOCAÇÃO DE AUTOMÓVEIS",34,624,53,15248681,35720.85,36320,"854"
"180678","2016","8","55","2","SE","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1292,8,1454165,39767.4,8954.03,"2168"
"42002","2016","9","55","2","DF","SOLIDARIEDADE","COMBUSTÍVEIS E LUBRIFICANTES",15,0,8,1897677,30416.8,942.19,"523"
"64978","2016","9","55","2","MG","SOLIDARIEDADE","TELEFONIA",15,624,53,15248681,35720.85,2199.96,"799"
"159642","2016","9","55","2","RR","MDB","PASSAGEM AÉREA",65,2496,8,299558,45240.67,9865.36,"1863"
"84284","2016","9","55","2","MT","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",21,873,8,2189703,39056.17,600,"994"
"55052","2016","9","55","2","GO","PTB","TELEFONIA",25,173,17,4331733,35135.2,2802.55,"661"
"197589","2016","9","55","2","SP","REPUBLICANOS","TELEFONIA",21,873,70,31998432,36671.67,10424.18,"2294"
"124424","2016","9","55","2","PR","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1081,30,7865950,38500,985.42,"1494"
"139185","2016","9","55","2","RJ","MDB","TELEFONIA",65,933,46,12141145,35388.11,5361.35,"1696"
"83866","2016","9","55","2","MS","MDB","DIVULGAÇÃO MANDATO",65,878,8,1818937,40170.98,7200,"987"
"110823","2016","10","55","2","PE","SOLIDARIEDADE","TELEFONIA",15,1657,25,6356307,41304.94,1716.73,"1255"
"120701","2016","10","55","2","PR","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,1081,30,7865950,38500,219,"1438"
"193798","2016","10","55","2","SP","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,873,70,31998432,36671.67,43.41,"2229"
"188677","2016","10","55","2","SP","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,873,70,31998432,36671.67,12226.29,"2195"
"5231","2016","10","55","2","AL","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1485,9,1995727,40572.24,1874.16,"67"
"79710","2016","10","55","2","MS","PDT","TELEFONIA",20,878,8,1818937,40170.98,3288.61,"948"
"116203","2016","10","55","2","PI","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1313,10,2345694,40599.91,13334,"1360"
"98197","2016","10","55","2","PB","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,1716,12,2835882,41660.7,7300,"1165"
"118782","2016","10","55","2","PI","PL","TELEFONIA",34,1313,10,2345694,40599.91,28.56,"1395"
"15310","2016","11","55","2","AP","PSD","DIVULGAÇÃO MANDATO",36,1791,8,455514,43002.92,16500,"170"
"84801","2016","11","55","2","MT","PP","PASSAGEM AÉREA",38,873,8,2189703,39056.17,8045.12,"975"
"112250","2016","11","55","2","PE","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1657,25,6356307,41304.94,7800,"1261"
"139759","2016","11","55","2","RJ","PTB","TELEFONIA",25,933,46,12141145,35388.11,3204.69,"1697"
"204948","2016","11","55","2","TO","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,620,8,996887,39131.75,117,"2372"
"36676","2016","11","55","2","CE","PSDB","TELEFONIA",54,1687,22,6271554,42079.91,5600.56,"418"
"65006","2016","11","55","2","MG","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,624,53,15248681,35720.85,5000,"774"
"80533","2016","11","55","2","MS","MDB","DIVULGAÇÃO MANDATO",65,878,8,1818937,40170.98,9350,"922"
"126580","2016","11","55","2","PR","PL","SERVIÇOS POSTAIS",34,1081,30,7865950,38500,273.35,"1509"
"163434","2016","12","55","2","RS","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1619,31,8392033,40504.04,10965.48,"1849"
"33822","2016","12","55","2","CE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1687,22,6271554,42079.91,6781.27,"366"
"121365","2016","12","55","2","PR","PROS","DIVULGAÇÃO MANDATO",11,1081,30,7865950,38500,5500,"1375"
"7863","2016","12","55","2","AL","PSDB","PASSAGEM AÉREA",54,1485,9,1995727,40572.24,-225.31,"84"
"114853","2016","12","55","2","PE","SOLIDARIEDADE","COMBUSTÍVEIS E LUBRIFICANTES",15,1657,25,6356307,41304.94,6845.29,"1286"
"80385","2016","12","55","2","MS","PDT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",20,878,8,1818937,40170.98,639,"910"
"109103","2016","12","55","2","PE","PSB","PASSAGEM AÉREA",34,1657,25,6356307,41304.94,38460.52,"1171"
"95190","2016","12","55","2","PA","PTB","ASSESSORIA TÉCNICA/JURÍDICA",25,1592,17,5188450,41855.59,25000,"1060"
"188577","2017","1","55","3","SP","PP","DIVULGAÇÃO MANDATO",38,873,70,31998432,36671.67,24740,"2027"
"156343","2017","1","55","3","RR","PP","TELEFONIA",38,2496,8,299558,45240.67,637.21,"1707"
