"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"2798","2015","4","55","1","BA","PTB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25,1060,39,10185417,38638.99,146.54,"1"
"4407","2015","4","55","1","CE","AVANTE","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",2,1687,22,6271554,42079.91,223.97,"1"
"4508","2015","4","55","1","CE","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1687,22,6271554,42079.91,45,"2"
"4005","2015","4","55","1","CE","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1687,22,6271554,42079.91,26,"2"
"4350","2015","4","55","1","CE","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,1687,22,6271554,42079.91,119.59,"2"
"5654","2015","4","55","1","ES","PCdoB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",10,947,10,2653536,37052.05,33.47,"2"
"5487","2015","4","55","1","ES","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,947,10,2653536,37052.05,6,"3"
"6923","2015","4","55","1","GO","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,173,17,4331733,35135.2,166.19,"1"
"6671","2015","4","55","1","GO","PSL","SERVIÇOS POSTAIS",1,173,17,4331733,35135.2,27.9,"1"
"7652","2015","4","55","1","MA","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1524,18,4497336,41779.83,182,"1"
"7233","2015","4","55","1","MA","PCdoB","SERVIÇOS POSTAIS",10,1524,18,4497336,41779.83,161.38,"1"
"7802","2015","4","55","1","MA","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1524,18,4497336,41779.83,220,"3"
"8807","2015","4","55","1","MG","PCdoB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,624,53,15248681,35720.85,59.4,"2"
"10033","2015","4","55","1","MG","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,624,53,15248681,35720.85,197,"2"
"10190","2015","4","55","1","MG","PROS","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",11,624,53,15248681,35720.85,92.24,"2"
"10032","2015","4","55","1","MG","PSL","SERVIÇOS POSTAIS",1,624,53,15248681,35720.85,56.61,"3"
"8862","2015","4","55","1","MG","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,624,53,15248681,35720.85,105.5,"2"
"10347","2015","4","55","1","MS","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,878,8,1818937,40170.98,170,"2"
"10296","2015","4","55","1","MS","PDT","SERVIÇOS POSTAIS",20,878,8,1818937,40170.98,224.7,"2"
"10818","2015","4","55","1","MT","DEM","SERVIÇOS POSTAIS",21,873,8,2189703,39056.17,108.94,"1"
"10825","2015","4","55","1","MT","MDB","ASSINATURA DE PUBLICAÇÕES",65,873,8,2189703,39056.17,82.86,"1"
"11619","2015","4","55","1","PA","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1592,17,5188450,41855.59,6,"1"
"13098","2015","4","55","1","PB","MDB","SERVIÇOS POSTAIS",65,1716,12,2835882,41660.7,165.03,"2"
"12633","2015","4","55","1","PB","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1716,12,2835882,41660.7,228,"1"
"13000","2015","4","55","1","PB","PSDB","SERVIÇOS POSTAIS",54,1716,12,2835882,41660.7,187.65,"1"
"14143","2015","4","55","1","PE","PTB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",25,1657,25,6356307,41304.94,160,"1"
"16033","2015","4","55","1","PR","CIDADANIA","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",10,1081,30,7865950,38500,26,"2"
"15888","2015","4","55","1","PR","DEM","SERVIÇOS POSTAIS",21,1081,30,7865950,38500,109.84,"2"
"15408","2015","4","55","1","PR","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,1081,30,7865950,38500,186,"1"
"16180","2015","4","55","1","PR","PT","SERVIÇOS POSTAIS",68,1081,30,7865950,38500,147.65,"2"
"17591","2015","4","55","1","RJ","PODEMOS","SERVIÇOS POSTAIS",9,933,46,12141145,35388.11,31.41,"2"
"17180","2015","4","55","1","RJ","PSDB","ASSINATURA DE PUBLICAÇÕES",54,933,46,12141145,35388.11,159,"1"
"17716","2015","4","55","1","RJ","PSL","SERVIÇOS POSTAIS",1,933,46,12141145,35388.11,69.24,"3"
"17611","2015","4","55","1","RJ","PSOL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,933,46,12141145,35388.11,190.89,"2"
"17386","2015","4","55","1","RJ","REDE","TELEFONIA",NA,933,46,12141145,35388.11,178.71,"1"
"17030","2015","4","55","1","RJ","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,933,46,12141145,35388.11,78,"1"
"19133","2015","4","55","1","RN","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1775,8,2327451,42360.13,74,"2"
"19421","2015","4","55","1","RO","DEM","SERVIÇOS POSTAIS",21,1900,8,1127154,43300.63,138.8,"1"
"19549","2015","4","55","1","RO","MDB","SERVIÇOS POSTAIS",65,1900,8,1127154,43300.63,153.17,"1"
"19438","2015","4","55","1","RO","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1900,8,1127154,43300.63,101.5,"1"
"19617","2015","4","55","1","RO","PSDB","SERVIÇOS POSTAIS",54,1900,8,1127154,43300.63,128.37,"3"
"20117","2015","4","55","1","RR","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,2496,8,299558,45240.67,109,"1"
"20620","2015","4","55","1","RS","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,1619,31,8392033,40504.04,174.2,"1"
"21013","2015","4","55","1","RS","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1619,31,8392033,40504.04,19,"2"
"21073","2015","4","55","1","RS","PP","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",38,1619,31,8392033,40504.04,177.98,"1"
"20611","2015","4","55","1","RS","PSB","SERVIÇOS POSTAIS",34,1619,31,8392033,40504.04,70.17,"1"
"21040","2015","4","55","1","RS","PSD","SERVIÇOS POSTAIS",36,1619,31,8392033,40504.04,177.11,"2"
"22726","2015","4","55","1","SC","CIDADANIA","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",10,1314,16,4859324,39505.92,141.1,"1"
"23409","2015","4","55","1","SE","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1292,8,1454165,39767.4,79.28,"2"
"23527","2015","4","55","1","SE","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1292,8,1454165,39767.4,200,"2"
"24822","2015","4","55","1","SP","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,136.1,"1"
"24729","2015","4","55","1","SP","PCdoB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",10,873,70,31998432,36671.67,42,"1"
"24661","2015","4","55","1","SP","PSC","SERVIÇOS POSTAIS",13,873,70,31998432,36671.67,75.9,"2"
"24757","2015","4","55","1","SP","PSOL","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",5,873,70,31998432,36671.67,48.38,"1"
"25487","2015","4","55","1","TO","PROS","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",11,620,8,996887,39131.75,132.54,"1"
"283","2015","5","55","1","AC","DEM","SERVIÇOS POSTAIS",21,2246,8,506724,44260.6,193.92,"1"
"3","2015","5","55","1","AC","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,2246,8,506724,44260.6,49,"1"
"377","2015","5","55","1","AC","PT","SERVIÇOS POSTAIS",68,2246,8,506724,44260.6,183.81,"1"
"1101","2015","5","55","1","AL","PDT","SERVIÇOS POSTAIS",20,1485,9,1995727,40572.24,95.6,"2"
"1042","2015","5","55","1","AL","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1485,9,1995727,40572.24,60.05,"2"
"1912","2015","5","55","1","AP","PSD","SERVIÇOS POSTAIS",36,1791,8,455514,43002.92,26.17,"2"
"2904","2015","5","55","1","BA","MDB","ASSINATURA DE PUBLICAÇÕES",65,1060,39,10185417,38638.99,150,"2"
"2786","2015","5","55","1","BA","PATRIOTA","SERVIÇOS POSTAIS",5,1060,39,10185417,38638.99,205.32,"2"
"2828","2015","5","55","1","BA","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",13,1060,39,10185417,38638.99,182.6,"1"
"2821","2015","5","55","1","BA","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1060,39,10185417,38638.99,160,"2"
"4454","2015","5","55","1","CE","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1687,22,6271554,42079.91,181.3,"2"
"3937","2015","5","55","1","CE","PDT","SERVIÇOS POSTAIS",20,1687,22,6271554,42079.91,188.41,"1"
