"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"159838","2016","6","55","SC","MDB",65,1314,16,4859324,39505.92,18107.01,"1941"
"7080","2016","6","55","AL","PSDB",54,1485,9,1995727,40572.24,1164.22,"83"
"39529","2016","6","55","ES","MDB",65,947,10,2653536,37052.05,2333.89,"516"
"101806","2016","7","55","PE","PSB",34,1657,25,6356307,41304.94,29995.07,"1217"
"15104","2016","7","55","AP","PSD",36,1791,8,455514,43002.92,160.77,"193"
"162054","2016","7","55","SC","PL",34,1314,16,4859324,39505.92,2900,"1967"
"90139","2016","7","55","PB","PSDB",54,1716,12,2835882,41660.7,412.19,"1132"
"176828","2016","7","55","SP","PSC",13,873,70,31998432,36671.67,767.8,"2117"
"69387","2016","7","55","MG","PSD",36,624,53,15248681,35720.85,1171,"841"
"38359","2016","7","55","ES","PDT",20,947,10,2653536,37052.05,4698.22,"498"
"136126","2016","7","55","RN","MDB",65,1775,8,2327451,42360.13,155.26,"1659"
"4320","2016","7","55","AL","PSDB",54,1485,9,1995727,40572.24,2116.91,"51"
"183320","2016","8","55","TO","DEM",21,620,8,996887,39131.75,4921.99,"2210"
"72310","2016","8","55","MS","DEM",21,878,8,1818937,40170.98,22481.41,"874"
"143366","2016","8","55","RR","PP",38,2496,8,299558,45240.67,7400,"1743"
"109651","2016","8","55","PR","PV",8,1081,30,7865950,38500,3900,"1355"
"113008","2016","8","55","PR","PL",34,1081,30,7865950,38500,492.2,"1409"
"85400","2016","8","55","PA","PODEMOS",9,1592,17,5188450,41855.59,6500,"1030"
"98980","2016","8","55","PE","MDB",65,1657,25,6356307,41304.94,270,"1181"
"112445","2016","8","55","PR","PT",68,1081,30,7865950,38500,2557.33,"1394"
"144059","2016","8","55","RR","REPUBLICANOS",21,2496,8,299558,45240.67,4000,"1754"
"120584","2016","9","55","RJ","PSD",36,933,46,12141145,35388.11,17183.1,"1474"
"62819","2016","9","55","MG","PSC",13,624,53,15248681,35720.85,13000,"813"
"141900","2016","9","55","RR","DEM",21,2496,8,299558,45240.67,6920,"1707"
"102932","2016","9","55","PE","CIDADANIA",10,1657,25,6356307,41304.94,2214.68,"1235"
"111375","2016","9","55","PR","PSDB",54,1081,30,7865950,38500,8354.39,"1376"
"19463","2016","9","55","BA","PATRIOTA",5,1060,39,10185417,38638.99,88,"234"
"161456","2016","9","55","SC","MDB",65,1314,16,4859324,39505.92,19410,"1916"
"84197","2016","9","55","PA","PSOL",5,1592,17,5188450,41855.59,466.25,"1017"
"102614","2016","9","55","PE","PP",38,1657,25,6356307,41304.94,1500,"1224"
"32392","2016","10","55","CE","PT",68,1687,22,6271554,42079.91,190,"388"
"52741","2016","10","55","MA","PODEMOS",9,1524,18,4497336,41779.83,226.28,"672"
"178788","2016","10","55","SP","PSDB",54,873,70,31998432,36671.67,1219.3,"2122"
"50984","2016","10","55","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,6379.44,"621"
"61109","2016","10","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,8515.58,"774"
"6964","2016","10","55","AL","PP",38,1485,9,1995727,40572.24,1502.42,"75"
"183266","2016","10","55","TO","MDB",65,620,8,996887,39131.75,3882.24,"2147"
"113886","2016","10","55","PR","PSL",1,1081,30,7865950,38500,1700,"1407"
"101130","2016","10","55","PE","PROS",11,1657,25,6356307,41304.94,14625.95,"1175"
"58478","2016","11","55","MG","PT",68,624,53,15248681,35720.85,17800,"713"
"35687","2016","11","55","DF","PL",34,0,8,1897677,30416.8,10000,"422"
"52077","2016","11","55","MA","PTB",25,1524,18,4497336,41779.83,1031.05,"630"
"71897","2016","11","55","MS","PSB",34,878,8,1818937,40170.98,608.34,"835"
"84249","2016","11","55","PA","SOLIDARIEDADE",15,1592,17,5188450,41855.59,304.79,"959"
"137466","2016","11","55","RO","PL",34,1900,8,1127154,43300.63,715.96,"1614"
"184260","2016","11","55","TO","DEM",21,620,8,996887,39131.75,339.9,"2154"
"138594","2016","11","55","RO","MDB",65,1900,8,1127154,43300.63,398,"1638"
"21233","2016","11","55","BA","PODEMOS",9,1060,39,10185417,38638.99,9758.7,"237"
"108758","2016","12","55","PR","MDB",65,1081,30,7865950,38500,15381.22,"1222"
"144091","2016","12","55","RR","PODEMOS",9,2496,8,299558,45240.67,7586.55,"1612"
"61058","2016","12","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,1781.76,"715"
"84596","2016","12","55","PA","PL",34,1592,17,5188450,41855.59,9980,"930"
"10811","2016","12","55","AM","DEM",21,1932,8,2226891,43198.26,2517.69,"121"
"72312","2016","12","55","MS","MDB",65,878,8,1818937,40170.98,5117.82,"818"
"169781","2016","12","55","SP","SOLIDARIEDADE",15,873,70,31998432,36671.67,265.57,"1880"
"19353","2016","12","55","BA","PSDB",54,1060,39,10185417,38638.99,3673.34,"206"
"69575","2016","12","55","MG","DEM",21,624,53,15248681,35720.85,4400,"778"
"164110","2017","1","55","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,306.17,"1845"
"85577","2017","1","55","PA","PSD",36,1592,17,5188450,41855.59,2097.34,"942"
"74669","2017","1","55","MS","PSDB",54,878,8,1818937,40170.98,1460.25,"824"
"61544","2017","1","55","MG","PROS",11,624,53,15248681,35720.85,15391.45,"702"
"52626","2017","1","55","MA","PODEMOS",9,1524,18,4497336,41779.83,7400,"602"
"11014","2017","1","55","AM","PL",34,1932,8,2226891,43198.26,4692.85,"128"
"62399","2017","1","55","MG","PL",34,624,53,15248681,35720.85,971.78,"714"
"6865","2017","1","55","AL","PP",38,1485,9,1995727,40572.24,218.4,"75"
"179055","2017","1","55","SP","PSDB",54,873,70,31998432,36671.67,1343.44,"2004"
"70458","2017","2","55","MG","PP",38,624,53,15248681,35720.85,1647.9,"854"
"10573","2017","2","55","AM","PSDB",54,1932,8,2226891,43198.26,950,"120"
"148714","2017","2","55","RS","PT",68,1619,31,8392033,40504.04,25320.64,"1829"
"126468","2017","2","55","RJ","PDT",20,933,46,12141145,35388.11,686.13,"1610"
"147894","2017","2","55","RS","PT",68,1619,31,8392033,40504.04,1951.89,"1814"
"34148","2017","2","55","CE","PSDB",54,1687,22,6271554,42079.91,7200,"431"
"21539","2017","2","55","BA","PSDB",54,1060,39,10185417,38638.99,6266.76,"279"
"107282","2017","2","55","PI","DEM",21,1313,10,2345694,40599.91,4751.03,"1304"
"57170","2017","2","55","MG","PSDB",54,624,53,15248681,35720.85,1501.48,"711"
"125738","2017","3","55","RJ","PATRIOTA",5,933,46,12141145,35388.11,5909.41,"1645"
"121241","2017","3","55","RJ","PL",34,933,46,12141145,35388.11,3688.6,"1536"
"136291","2017","3","55","RN","MDB",65,1775,8,2327451,42360.13,5710.48,"1717"
"115003","2017","3","55","PR","PV",8,1081,30,7865950,38500,1441.67,"1499"
"103242","2017","3","55","PE","PTB",25,1657,25,6356307,41304.94,743.56,"1282"
"59355","2017","3","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,2767,"766"
"86814","2017","3","55","PB","DEM",21,1716,12,2835882,41660.7,9954.63,"1082"
"79502","2017","3","55","PA","DEM",21,1592,17,5188450,41855.59,6000,"992"
"62046","2017","3","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,10488.55,"802"
"160389","2017","3","55","SC","PSD",36,1314,16,4859324,39505.92,9700,"1993"
"36816","2017","4","55","DF","PODEMOS",9,0,8,1897677,30416.8,6500,"467"
"135755","2017","4","55","RN","PODEMOS",9,1775,8,2327451,42360.13,4977.24,"1666"
"174664","2017","4","55","SP","PSOL",5,873,70,31998432,36671.67,23760.04,"2092"
"141881","2017","4","55","RR","PP",38,2496,8,299558,45240.67,4775.18,"1737"
"140659","2017","4","55","RR","DEM",21,2496,8,299558,45240.67,9528.63,"1729"
"115344","2017","4","55","PR","PSDB",54,1081,30,7865950,38500,6431.84,"1477"
"1260","2017","4","55","AC","PT",68,2246,8,506724,44260.6,236.05,"23"
"57359","2017","4","55","MG","PSD",36,624,53,15248681,35720.85,17559.35,"709"
"79529","2017","4","55","PA","MDB",65,1592,17,5188450,41855.59,263.7,"973"
"33607","2017","5","55","CE","PSDB",54,1687,22,6271554,42079.91,847,"433"
"169683","2017","5","55","SP","PODEMOS",9,873,70,31998432,36671.67,17679,"2091"
"28822","2017","5","55","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,2551.12,"327"
"179427","2017","5","55","SP","PL",34,873,70,31998432,36671.67,28310.1,"2233"
"160328","2017","5","55","SC","PSD",36,1314,16,4859324,39505.92,3511.78,"1976"
