"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"19460","2015","SE","PP",38,1292,8,1454165,39767.4,11484.67,"8"
"19431","2015","SE","PSB",34,1292,8,1454165,39767.4,147953.25,"6"
"19315","2015","SE","PSC",13,1292,8,1454165,39767.4,142822.86,"2"
"19308","2015","SE","PSD",36,1292,8,1454165,39767.4,21436.67,"6"
"19393","2015","SE","PT",68,1292,8,1454165,39767.4,14471.72,"6"
"19466","2015","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,719.23,"9"
"20644","2015","SP","CIDADANIA",10,873,70,31998432,36671.67,6600,"12"
"20155","2015","SP","DEM",21,873,70,31998432,36671.67,17190.58,"7"
"19852","2015","SP","MDB",65,873,70,31998432,36671.67,35603.45,"2"
"20019","2015","SP","PCdoB",10,873,70,31998432,36671.67,26944.11,"6"
"19864","2015","SP","PL",34,873,70,31998432,36671.67,102340,"1"
"20164","2015","SP","PODEMOS",9,873,70,31998432,36671.67,3843.9,"7"
"19940","2015","SP","PP",38,873,70,31998432,36671.67,117600,"4"
"19931","2015","SP","PSB",34,873,70,31998432,36671.67,66914.9,"3"
"20026","2015","SP","PSC",13,873,70,31998432,36671.67,47570,"5"
"20187","2015","SP","PSD",36,873,70,31998432,36671.67,82700,"8"
"20626","2015","SP","PSDB",54,873,70,31998432,36671.67,117068.75,"7"
"19784","2015","SP","PSL",1,873,70,31998432,36671.67,14317.15,"1"
"20238","2015","SP","PSOL",5,873,70,31998432,36671.67,10159.99,"8"
"20232","2015","SP","PT",68,873,70,31998432,36671.67,1307.83,"7"
"20059","2015","SP","PTB",25,873,70,31998432,36671.67,6433.59,"4"
"19778","2015","SP","PV",8,873,70,31998432,36671.67,98634.38,"2"
"19742","2015","SP","REPUBLICANOS",21,873,70,31998432,36671.67,171720.84,"1"
"19936","2015","SP","SOLIDARIEDADE",15,873,70,31998432,36671.67,600.4,"3"
"21282","2015","TO","DEM",21,620,8,996887,39131.75,821.06,"5"
"21222","2015","TO","MDB",65,620,8,996887,39131.75,37213.94,"2"
"21616","2015","TO","PL",34,620,8,996887,39131.75,2696.5,"9"
"21645","2015","TO","PP",38,620,8,996887,39131.75,45995.22,"5"
"21278","2015","TO","PROS",11,620,8,996887,39131.75,889.54,"3"
"21180","2015","TO","PSD",36,620,8,996887,39131.75,10174.73,"1"
"21189","2015","TO","REPUBLICANOS",21,620,8,996887,39131.75,24991.96,"4"
"15","2016","AC","DEM",21,2246,8,506724,44260.6,62283.17,"1"
"31","2016","AC","MDB",65,2246,8,506724,44260.6,47823.8,"3"
"97","2016","AC","PCdoB",10,2246,8,506724,44260.6,20112.62,"4"
