"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"103086","2016","5","55","PE","PCdoB",10,1657,25,6356307,41304.94,108.39,"1293"
"89160","2016","5","55","PB","PDT",20,1716,12,2835882,41660.7,215.69,"1145"
"23442","2016","5","55","BA","PCdoB",10,1060,39,10185417,38638.99,15910.95,"327"
"59179","2016","5","55","MG","PL",34,624,53,15248681,35720.85,12004.34,"786"
"12547","2016","5","55","AP","PODEMOS",9,1791,8,455514,43002.92,1684.49,"155"
"169355","2016","5","55","SP","PSOL",5,873,70,31998432,36671.67,207.89,"2104"
"90259","2016","6","55","PB","PDT",20,1716,12,2835882,41660.7,426.99,"1144"
"6924","2016","6","55","AL","PSB",34,1485,9,1995727,40572.24,536,"78"
"59204","2016","6","55","MG","PSDB",54,624,53,15248681,35720.85,1241.18,"771"
"20867","2016","6","55","BA","PSB",34,1060,39,10185417,38638.99,129.09,"270"
"79126","2016","6","55","MT","PSL",1,873,8,2189703,39056.17,31650,"972"
"85511","2016","6","55","PA","PSD",36,1592,17,5188450,41855.59,13359.62,"1042"
"183862","2016","6","55","TO","REPUBLICANOS",21,620,8,996887,39131.75,6000,"2240"
"10600","2016","6","55","AM","PSDB",54,1932,8,2226891,43198.26,7050,"133"
"138197","2016","6","55","RO","PSD",36,1900,8,1127154,43300.63,27000,"1708"
"14387","2016","7","55","AP","PDT",20,1791,8,455514,43002.92,7500,"183"
"100984","2016","7","55","PE","PTB",25,1657,25,6356307,41304.94,10496.85,"1201"
"20851","2016","7","55","BA","PT",68,1060,39,10185417,38638.99,31580,"257"
"120412","2016","7","55","RJ","PATRIOTA",5,933,46,12141145,35388.11,16536.59,"1475"
"80349","2016","7","55","PA","DEM",21,1592,17,5188450,41855.59,3270,"1000"
"18670","2016","7","55","BA","PSD",36,1060,39,10185417,38638.99,19700,"210"
"22649","2016","7","55","BA","PSD",36,1060,39,10185417,38638.99,1042.46,"296"
"150707","2016","7","55","RS","MDB",65,1619,31,8392033,40504.04,24510,"1867"
"177123","2016","7","55","SP","PODEMOS",9,873,70,31998432,36671.67,17432.1,"2123"
"75728","2016","8","55","MT","DEM",21,873,8,2189703,39056.17,1354.2,"917"
"98911","2016","8","55","PE","PSDB",54,1657,25,6356307,41304.94,4463.6,"1177"
"107310","2016","8","55","PI","PT",68,1313,10,2345694,40599.91,430.13,"1312"
"41055","2016","8","55","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,366,"534"
"11056","2016","8","55","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,12750,"127"
"72428","2016","8","55","MS","DEM",21,878,8,1818937,40170.98,1319,"879"
"139653","2016","8","55","RO","DEM",21,1900,8,1127154,43300.63,8658,"1726"
"47101","2016","8","55","GO","PTB",25,173,17,4331733,35135.2,2500,"562"
"12683","2016","8","55","AP","PODEMOS",9,1791,8,455514,43002.92,14500,"137"
"170206","2016","9","55","SP","PSB",34,873,70,31998432,36671.67,10135.45,"2007"
"63175","2016","9","55","MG","PDT",20,624,53,15248681,35720.85,10324.5,"820"
"10334","2016","9","55","AM","DEM",21,1932,8,2226891,43198.26,2668.72,"109"
"48511","2016","9","55","GO","PTB",25,173,17,4331733,35135.2,5965.17,"606"
"98432","2016","9","55","PE","PP",38,1657,25,6356307,41304.94,11532.87,"1148"
"31960","2016","9","55","CE","PT",68,1687,22,6271554,42079.91,1939.96,"391"
"31910","2016","9","55","CE","PDT",20,1687,22,6271554,42079.91,23900,"390"
"110047","2016","9","55","PR","PDT",20,1081,30,7865950,38500,16900,"1369"
"41068","2016","9","55","ES","PSL",1,947,10,2653536,37052.05,2545.47,"550"
"108873","2016","10","55","PR","CIDADANIA",10,1081,30,7865950,38500,95.55,"1315"
"140634","2016","10","55","RR","PSDB",54,2496,8,299558,45240.67,3658.74,"1689"
"113433","2016","10","55","PR","PSD",36,1081,30,7865950,38500,473.99,"1397"
"122692","2016","10","55","RJ","PL",34,933,46,12141145,35388.11,346.86,"1488"
