"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4574","2019","56","1","CE","PT","TELEFONIA",54,1687,22,6344483,42079.91,37003.72,"2"
"3685","2019","55","5","CE","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1687,22,6271554,42079.91,5934.83,"1"
"4562","2019","56","1","CE","REPUBLICANOS","DIVULGAÇÃO MANDATO",30,1687,22,6344483,42079.91,61582.67,"2"
"4127","2019","55","5","CE","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,1687,22,6271554,42079.91,12128.79,"1"
"4460","2019","56","1","CE","REPUBLICANOS","PASSAGEM AÉREA",30,1687,22,6344483,42079.91,17895.1,"2"
"4523","2019","56","1","CE","REPUBLICANOS","SERVIÇOS POSTAIS",30,1687,22,6344483,42079.91,1139.68,"2"
"3680","2019","55","5","CE","REPUBLICANOS","TELEFONIA",21,1687,22,6271554,42079.91,242.55,"1"
"4725","2019","55","5","DF","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,0,8,1897677,30416.8,28000,"1"
"5127","2019","56","1","DF","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,0,8,2084356,30416.8,35794.97,"2"
"4958","2019","55","5","DF","PP","MANUTENÇÃO DE ESCRITÓRIO",38,0,8,1897677,30416.8,1500,"1"
"4923","2019","55","5","DF","PP","TELEFONIA",38,0,8,1897677,30416.8,632.34,"2"
"5134","2019","56","1","DF","PT","ASSESSORIA TÉCNICA/JURÍDICA",54,0,8,2084356,30416.8,204480,"2"
"5110","2019","56","1","DF","PT","COMBUSTÍVEIS E LUBRIFICANTES",54,0,8,2084356,30416.8,19882.12,"2"
"5116","2019","56","1","DF","PT","MANUTENÇÃO DE ESCRITÓRIO",54,0,8,2084356,30416.8,8817.6,"2"
"5310","2019","55","5","ES","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,947,10,2653536,37052.05,10000,"1"
"5780","2019","55","5","ES","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,947,10,2653536,37052.05,4833.85,"2"
"5691","2019","55","5","ES","PDT","DIVULGAÇÃO MANDATO",20,947,10,2653536,37052.05,6000,"2"
