"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"182025","2015","5","55","SE",38,1292,8,1454165,39767.4,1269.9,"27"
"189542","2015","5","55","SP",36,873,70,31998432,36671.67,5529.98,"34"
"199343","2015","5","55","SP",10,873,70,31998432,36671.67,3949.53,"176"
"193401","2015","5","55","SP",5,873,70,31998432,36671.67,15756.04,"39"
"203629","2015","5","55","TO",65,620,8,996887,39131.75,12142.49,"3"
"310","2015","6","55","AC",68,2246,8,506724,44260.6,12791.82,"6"
"5091","2015","6","55","AL",54,1485,9,1995727,40572.24,9000,"17"
"12098","2015","6","55","AM",21,1932,8,2226891,43198.26,11723.6,"32"
"16596","2015","6","55","AP",65,1791,8,455514,43002.92,1213.78,"53"
"21173","2015","6","55","BA",25,1060,39,10185417,38638.99,2600,"28"
"21675","2015","6","55","BA",38,1060,39,10185417,38638.99,30665,"44"
"33884","2015","6","55","CE",21,1687,22,6271554,42079.91,18119.14,"24"
"38517","2015","6","55","CE",20,1687,22,6271554,42079.91,7866.49,"129"
"41420","2015","6","55","DF",68,0,8,1897677,30416.8,2032.33,"27"
"44590","2015","6","55","ES",20,947,10,2653536,37052.05,250.45,"43"
"53935","2015","6","55","GO",25,173,17,4331733,35135.2,6213.51,"66"
"54314","2015","6","55","GO",38,173,17,4331733,35135.2,21560,"75"
"58963","2015","6","55","MA",21,1524,18,4497336,41779.83,1898.88,"60"
"58689","2015","6","55","MA",21,1524,18,4497336,41779.83,61,"54"
"69091","2015","6","55","MG",15,624,53,15248681,35720.85,1241.03,"83"
"65651","2015","6","55","MG",20,624,53,15248681,35720.85,8417.71,"38"
"70827","2015","6","55","MG",2,624,53,15248681,35720.85,667.68,"121"
"80346","2015","6","55","MS",34,878,8,1818937,40170.98,600,"11"
"88122","2015","6","55","MT",38,873,8,2189703,39056.17,1609.49,"52"
"96474","2015","6","55","PA",65,1592,17,5188450,41855.59,310.27,"97"
"96042","2015","6","55","PA",65,1592,17,5188450,41855.59,1306.1,"89"
"99353","2015","6","55","PB",65,1716,12,2835882,41660.7,2250,"51"
"100185","2015","6","55","PB",21,1716,12,2835882,41660.7,8172.22,"69"
"112538","2015","6","55","PE",2,1657,25,6356307,41304.94,211.58,"80"
"114228","2015","6","55","PE",20,1657,25,6356307,41304.94,270,"110"
"116056","2015","6","55","PI",9,1313,10,2345694,40599.91,6739.73,"2"
"123770","2015","6","55","PR",34,1081,30,7865950,38500,3050,"53"
"126104","2015","6","55","PR",34,1081,30,7865950,38500,1750,"105"
"124766","2015","6","55","PR",8,1081,30,7865950,38500,95,"74"
"133335","2015","6","55","RJ",5,933,46,12141145,35388.11,216,"12"
"133640","2015","6","55","RJ",25,933,46,12141145,35388.11,10000,"21"
"135413","2015","6","55","RJ",36,933,46,12141145,35388.11,12948.37,"52"
"150073","2015","6","55","RN",34,1775,8,2327451,42360.13,6480,"25"
"154479","2015","6","55","RO",54,1900,8,1127154,43300.63,8800,"43"
"156298","2015","6","55","RR",54,2496,8,299558,45240.67,5500,"11"
"165601","2015","6","55","RS",21,1619,31,8392033,40504.04,3141.4,"75"
"165090","2015","6","55","RS",38,1619,31,8392033,40504.04,2049.32,"64"
"176784","2015","6","55","SC",36,1314,16,4859324,39505.92,4078.79,"18"
"178126","2015","6","55","SC",10,1314,16,4859324,39505.92,125,"37"
"181859","2015","6","55","SE",34,1292,8,1454165,39767.4,200,"29"
"197656","2015","6","55","SP",36,873,70,31998432,36671.67,436.65,"130"
"194633","2015","6","55","SP",36,873,70,31998432,36671.67,757.94,"75"
"189040","2015","6","55","SP",68,873,70,31998432,36671.67,25556.31,"30"
"203765","2015","6","55","TO",21,620,8,996887,39131.75,47.94,"2"
"2616","2015","7","55","AC",65,2246,8,506724,44260.6,1688.81,"22"
"8063","2015","7","55","AL",9,1485,9,1995727,40572.24,5500,"45"
"12541","2015","7","55","AM",38,1932,8,2226891,43198.26,87.32,"40"
"14832","2015","7","55","AP",34,1791,8,455514,43002.92,10564.2,"18"
"20636","2015","7","55","BA",38,1060,39,10185417,38638.99,40300,"25"
"23193","2015","7","55","BA",54,1060,39,10185417,38638.99,8239.22,"82"
"34269","2015","7","55","CE",34,1687,22,6271554,42079.91,2299.15,"44"
"36660","2015","7","55","CE",25,1687,22,6271554,42079.91,11000,"80"
"42066","2015","7","55","DF",38,0,8,1897677,30416.8,3200,"49"
"43760","2015","7","55","ES",34,947,10,2653536,37052.05,140.75,"17"
"54149","2015","7","55","GO",10,173,17,4331733,35135.2,1620.09,"59"
"52466","2015","7","55","GO",68,173,17,4331733,35135.2,9256.24,"25"
"58565","2015","7","55","MA",21,1524,18,4497336,41779.83,22000,"54"
"60051","2015","7","55","MA",10,1524,18,4497336,41779.83,484.52,"83"
"66456","2015","7","55","MG",54,624,53,15248681,35720.85,23217.99,"58"
"68340","2015","7","55","MG",20,624,53,15248681,35720.85,261.25,"68"
"63817","2015","7","55","MG",65,624,53,15248681,35720.85,814.67,"2"
"83929","2015","7","55","MS",68,878,8,1818937,40170.98,22800,"51"
"88301","2015","7","55","MT",68,873,8,2189703,39056.17,8400,"48"
"93998","2015","7","55","PA",25,1592,17,5188450,41855.59,11600,"43"
"93967","2015","7","55","PA",10,1592,17,5188450,41855.59,47.75,"42"
"97306","2015","7","55","PB",20,1716,12,2835882,41660.7,45.48,"8"
"97655","2015","7","55","PB",34,1716,12,2835882,41660.7,3213.87,"15"
"109475","2015","7","55","PE",9,1657,25,6356307,41304.94,12000,"17"
"113374","2015","7","55","PE",5,1657,25,6356307,41304.94,498.3,"94"
"117177","2015","7","55","PI",9,1313,10,2345694,40599.91,10900,"25"
"122048","2015","7","55","PR",68,1081,30,7865950,38500,11562.83,"44"
"127674","2015","7","55","PR",9,1081,30,7865950,38500,149.02,"145"
"127836","2015","7","55","PR",10,1081,30,7865950,38500,186,"147"
"135641","2015","7","55","RJ",25,933,46,12141145,35388.11,16815.33,"59"
"136114","2015","7","55","RJ",21,933,46,12141145,35388.11,26430,"69"
"138977","2015","7","55","RJ",34,933,46,12141145,35388.11,363.31,"131"
"150626","2015","7","55","RN",9,1775,8,2327451,42360.13,1182.47,"42"
"153717","2015","7","55","RO",25,1900,8,1127154,43300.63,4900,"26"
"156261","2015","7","55","RR",9,2496,8,299558,45240.67,2602.37,"6"
"163939","2015","7","55","RS",21,1619,31,8392033,40504.04,3802,"37"
"163499","2015","7","55","RS",34,1619,31,8392033,40504.04,3229.69,"29"
"177899","2015","7","55","SC",54,1314,16,4859324,39505.92,525.76,"38"
"178980","2015","7","55","SC",36,1314,16,4859324,39505.92,13473.53,"61"
