"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"11436","2021","PE","PODEMOS",17,1657,25,6570072,41304.94,9000,"62"
"12830","2021","PI","PSD",35,1313,10,2370894,40599.91,4177.77,"21"
"13606","2021","PR","PP",38,1081,30,7971087,38500,2201.18,"118"
"15133","2021","RJ","PCdoB",10,933,46,12408340,35388.11,11855.92,"21"
"15947","2021","RN","MDB",34,1775,8,2373619,42360.13,35703.5,"24"
"16334","2021","RO","PSD",35,1900,8,1175733,43300.63,41122.49,"38"
"16713","2021","RR","PP",38,2496,8,333464,45240.67,181600,"7"
"17885","2021","RS","PSD",35,1619,31,8354732,40504.04,882.17,"93"
"18877","2021","SC","MDB",34,1314,16,5070212,39505.92,2190,"24"
"19424","2021","SE","REPUBLICANOS",30,1292,8,1577058,39767.4,28600,"3"
"20855","2021","SP","PSB",32,873,70,33040411,36671.67,39110.85,"72"
"21434","2021","TO","PT",54,620,8,1039439,39131.75,41813.94,"30"
"193","2022","AC","PDT",28,2246,8,547680,44260.6,12000,"8"
"1012","2022","AL","REPUBLICANOS",30,1485,9,2187967,40572.24,145818.83,"36"
"1332","2022","AM","PSD",35,1932,8,2428098,43198.26,62917.58,"32"
"1845","2022","AP","PP",38,1791,8,512110,43002.92,47462,"21"
"2341","2022","BA","PP",38,1060,39,10393170,38638.99,137512.48,"59"
"4118","2022","CE","PL",33,1687,22,6344483,42079.91,8201.7,"37"
"4570","2022","DF","PP",38,0,8,2084356,30416.8,16000,"22"
"5066","2022","ES","UNIÃO",52,947,10,2754728,37052.05,6590.51,"48"
"6006","2022","GO","PSD",35,173,17,4454497,35135.2,81700,"67"
"6394","2022","MA","MDB",34,1524,18,4537237,41779.83,3179.52,"5"
"7854","2022","MG","PSB",32,624,53,15700966,35720.85,2939,"126"
"8584","2022","MS","UNIÃO",52,878,8,1877982,40170.98,74635.51,"18"
"9112","2022","MT","PL",33,873,8,2330281,39056.17,70911.41,"17"
"9563","2022","PA","MDB",34,1592,17,5499283,41855.59,1327.24,"16"
"10741","2022","PB","REPUBLICANOS",30,1716,12,2867649,41660.7,3165.94,"14"
"11200","2022","PE","REPUBLICANOS",30,1657,25,6570072,41304.94,33268.12,"9"
"12841","2022","PI","PSD",35,1313,10,2370894,40599.91,68075,"31"
"13417","2022","PR","MDB",34,1081,30,7971087,38500,20405.23,"63"
"15303","2022","RJ","PSOL",10,933,46,12408340,35388.11,1385.22,"61"
"16058","2022","RN","PT",54,1775,8,2373619,42360.13,8105.56,"43"
"16331","2022","RO","MDB",34,1900,8,1175733,43300.63,115635.24,"39"
"16720","2022","RR","REPUBLICANOS",30,2496,8,333464,45240.67,701.16,"8"
"17894","2022","RS","PT",54,1619,31,8354732,40504.04,91876.66,"88"
"19047","2022","SC","PSD",35,1314,16,5070212,39505.92,24661.5,"60"
"19585","2022","SE","PSD",35,1292,8,1577058,39767.4,1624.72,"14"
"21060","2022","SP","PL",33,873,70,33040411,36671.67,91973.41,"116"
"21497","2022","TO","PODEMOS",17,620,8,1039439,39131.75,54013.05,"47"
"177","2023","AC","MDB",34,2246,8,547680,44260.6,5041.57,"3"
"1011","2023","AL","REPUBLICANOS",30,1485,9,2187967,40572.24,25000,"27"
"1237","2023","AM","PT",54,1932,8,2428098,43198.26,3000,"4"
"1859","2023","AP","MDB",34,1791,8,512110,43002.92,900,"8"
"2268","2023","BA","PODEMOS",17,1060,39,10393170,38638.99,10246,"45"
"4013","2023","CE","PSB",32,1687,22,6344483,42079.91,1376.9,"11"
"4622","2023","DF","REPUBLICANOS",30,0,8,2084356,30416.8,5500,"17"
"4831","2023","ES","UNIÃO",52,947,10,2754728,37052.05,2136.94,"1"
"6017","2023","GO","REPUBLICANOS",30,173,17,4454497,35135.2,15661.63,"37"
"6548","2023","MA","PSB",32,1524,18,4537237,41779.83,880.64,"21"
"7307","2023","MG","PT",54,624,53,15700966,35720.85,44500.62,"11"
"8886","2023","MS","PSDB",29,878,8,1877982,40170.98,13340,"18"
"9331","2023","MT","REPUBLICANOS",30,873,8,2330281,39056.17,12600,"22"
"9863","2023","PA","REPUBLICANOS",30,1592,17,5499283,41855.59,12846.41,"39"
"10946","2023","PB","PSB",32,1716,12,2867649,41660.7,8500,"38"
"12284","2023","PE","PT",54,1657,25,6570072,41304.94,694.06,"59"
"12782","2023","PI","PP",38,1313,10,2370894,40599.91,1329.5,"13"
"13152","2023","PR","PP",38,1081,30,7971087,38500,17777,"4"
"15053","2023","RJ","PCdoB",10,933,46,12408340,35388.11,3300,"3"
"16077","2023","RN","PODEMOS",17,1775,8,2373619,42360.13,23700,"31"
"16644","2023","RO","PSD",35,1900,8,1175733,43300.63,1571.54,"30"
"16701","2023","RR","PP",38,2496,8,333464,45240.67,817.81,"5"
"17851","2023","RS","MDB",34,1619,31,8354732,40504.04,1777.75,"61"
"18876","2023","SC","MDB",34,1314,16,5070212,39505.92,7970.08,"12"
"19609","2023","SE","UNIÃO",52,1292,8,1577058,39767.4,32500,"16"
"20866","2023","SP","PODEMOS",17,873,70,33040411,36671.67,17462.04,"61"
"21316","2023","TO","UNIÃO",52,620,8,1039439,39131.75,14390.06,"5"
