"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"2761","2019","56","1","BA","PSDB","SERVIÇOS POSTAIS",29,1060,39,10393170,38638.99,978.28,"1"
"3739","2019","55","5","BA","PSDB","TELEFONIA",54,1060,39,10185417,38638.99,3069.95,"2"
"2975","2019","55","5","BA","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1060,39,10185417,38638.99,26273.04,"2"
"3486","2019","56","1","BA","PT","DIVULGAÇÃO MANDATO",54,1060,39,10393170,38638.99,685741.13,"2"
"2592","2019","56","1","BA","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,1060,39,10393170,38638.99,18835.64,"1"
"3291","2019","55","5","BA","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1060,39,10185417,38638.99,64977,"2"
"3533","2019","55","5","BA","PT","MANUTENÇÃO DE ESCRITÓRIO",68,1060,39,10185417,38638.99,23419.83,"1"
"2508","2019","56","1","BA","PT","PASSAGEM AÉREA",54,1060,39,10393170,38638.99,971980.9,"1"
"2684","2019","56","1","BA","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",54,1060,39,10393170,38638.99,2010.79,"1"
"3132","2019","55","5","BA","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1060,39,10185417,38638.99,997.02,"2"
"3286","2019","55","5","BA","PT","SERVIÇOS POSTAIS",68,1060,39,10185417,38638.99,724.02,"2"
"2499","2019","56","1","BA","PT","TELEFONIA",54,1060,39,10393170,38638.99,123618.16,"1"
"3834","2019","56","1","BA","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",30,1060,39,10393170,38638.99,61050,"2"
"3097","2019","55","5","BA","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1060,39,10185417,38638.99,1121.68,"2"
"3157","2019","55","5","BA","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,1060,39,10185417,38638.99,10700,"2"
"2818","2019","56","1","BA","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",30,1060,39,10393170,38638.99,202947,"1"
"4012","2019","56","1","BA","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",30,1060,39,10393170,38638.99,169923.69,"2"
"3139","2019","55","5","BA","REPUBLICANOS","PASSAGEM AÉREA",21,1060,39,10185417,38638.99,15071.29,"1"
"4011","2019","56","1","BA","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",30,1060,39,10393170,38638.99,188,"2"
"2724","2019","56","1","BA","REPUBLICANOS","SERVIÇOS POSTAIS",30,1060,39,10393170,38638.99,15342.77,"1"
"3416","2019","55","5","BA","REPUBLICANOS","TELEFONIA",21,1060,39,10185417,38638.99,3885.14,"1"
"3509","2019","55","5","BA","UNIÃO","PASSAGEM AÉREA",NA,1060,39,10185417,38638.99,1586.61,"2"
"4858","2019","56","1","CE","PDT","ASSESSORIA TÉCNICA/JURÍDICA",28,1687,22,6344483,42079.91,366159.28,"2"
"4829","2019","56","1","CE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,1687,22,6344483,42079.91,197662.48,"2"
"4784","2019","55","5","CE","PDT","DIVULGAÇÃO MANDATO",20,1687,22,6271554,42079.91,21200,"1"
"4683","2019","55","5","CE","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1687,22,6271554,42079.91,42.35,"1"
"4577","2019","55","5","CE","PDT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",20,1687,22,6271554,42079.91,1485.14,"1"
"4600","2019","55","5","CE","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1687,22,6271554,42079.91,11531.6,"1"
"4314","2019","55","5","CE","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1687,22,6271554,42079.91,3246.16,"1"
"5217","2019","56","1","CE","PDT","PASSAGEM AÉREA",28,1687,22,6344483,42079.91,1122688.33,"2"
"4524","2019","55","5","CE","PDT","SERVIÇOS POSTAIS",20,1687,22,6271554,42079.91,107.06,"1"
"4723","2019","55","5","CE","PDT","TELEFONIA",20,1687,22,6271554,42079.91,2723.79,"1"
"4623","2019","55","5","CE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1687,22,6271554,42079.91,6000,"1"
"4948","2019","56","1","CE","PL","DIVULGAÇÃO MANDATO",33,1687,22,6344483,42079.91,275550,"2"
"4981","2019","56","1","CE","PL","LOCAÇÃO DE AUTOMÓVEIS",33,1687,22,6344483,42079.91,118685.44,"2"
"4546","2019","55","5","CE","PL","PASSAGEM AÉREA",34,1687,22,6271554,42079.91,12328.98,"1"
"4244","2019","55","5","CE","PL","SERVIÇOS POSTAIS",34,1687,22,6271554,42079.91,4881.76,"1"
"4843","2019","56","1","CE","PL","TELEFONIA",33,1687,22,6344483,42079.91,3370.18,"2"
"4871","2019","56","1","CE","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1687,22,6344483,42079.91,17532.3,"2"
"5099","2019","56","1","CE","PP","DIVULGAÇÃO MANDATO",38,1687,22,6344483,42079.91,143000,"2"
"5024","2019","56","1","CE","PP","PASSAGEM AÉREA",38,1687,22,6344483,42079.91,128585.89,"2"
"5051","2019","56","1","CE","PP","TELEFONIA",38,1687,22,6344483,42079.91,5045.74,"2"
"4961","2019","56","1","CE","PSB","ASSESSORIA TÉCNICA/JURÍDICA",32,1687,22,6344483,42079.91,107800,"2"
"5093","2019","56","1","CE","PSB","COMBUSTÍVEIS E LUBRIFICANTES",32,1687,22,6344483,42079.91,25872.2,"2"
"4515","2019","55","5","CE","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1687,22,6271554,42079.91,3300,"1"
"4653","2019","55","5","CE","PSB","PASSAGEM AÉREA",34,1687,22,6271554,42079.91,863.98,"1"
"4476","2019","55","5","CE","PSB","TELEFONIA",34,1687,22,6271554,42079.91,390.81,"1"
"4632","2019","55","5","CE","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1687,22,6271554,42079.91,34000,"1"
"4972","2019","56","1","CE","PSD","DIVULGAÇÃO MANDATO",35,1687,22,6344483,42079.91,116958.48,"2"
"4857","2019","56","1","CE","PSD","PASSAGEM AÉREA",35,1687,22,6344483,42079.91,296418.77,"2"
"5055","2019","56","1","CE","PSD","TELEFONIA",35,1687,22,6344483,42079.91,847.18,"2"
"5155","2019","56","1","CE","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",29,1687,22,6344483,42079.91,40194.01,"2"
"5171","2019","56","1","CE","PSDB","DIVULGAÇÃO MANDATO",29,1687,22,6344483,42079.91,130115.28,"2"
"4733","2019","55","5","CE","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1687,22,6271554,42079.91,12600,"1"
"4616","2019","55","5","CE","PSDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",54,1687,22,6271554,42079.91,7500,"1"
"5018","2019","56","1","CE","PSDB","MANUTENÇÃO DE ESCRITÓRIO",29,1687,22,6344483,42079.91,5036.5,"2"
"5152","2019","56","1","CE","PSDB","PASSAGEM AÉREA",29,1687,22,6344483,42079.91,155843.34,"2"
"4145","2019","55","5","CE","PSDB","SERVIÇOS POSTAIS",54,1687,22,6271554,42079.91,470.33,"1"
"5015","2019","56","1","CE","PSDB","TELEFONIA",29,1687,22,6344483,42079.91,2254.86,"2"
"5069","2019","56","1","CE","PT","ASSESSORIA TÉCNICA/JURÍDICA",54,1687,22,6344483,42079.91,107450,"2"
"4567","2019","55","5","CE","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1687,22,6271554,42079.91,11800,"1"
