"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"55202","2016","5","55","2","GO","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,173,17,4331733,35135.2,2449.02,6,"711"
"189354","2016","5","55","2","SP","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,873,70,31998432,36671.67,1090.27,28,"2327"
"33904","2016","5","55","2","CE","PODEMOS","LOCAÇÃO OU FRETAMENTO DE AERONAVES",9,1687,22,6271554,42079.91,5000,1,"396"
"40010","2016","5","55","2","DF","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,0,8,1897677,30416.8,4800,1,"501"
"33739","2016","6","55","2","CE","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,1687,22,6271554,42079.91,804.3,1,"390"
"110529","2016","6","55","2","PE","PCdoB","TELEFONIA",10,1657,25,6356307,41304.94,3519.9,16,"1286"
"150530","2016","6","55","2","RN","MDB","DIVULGAÇÃO MANDATO",65,1775,8,2327451,42360.13,16600,2,"1804"
"88180","2016","6","55","2","MT","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,873,8,2189703,39056.17,1947.9,8,"1058"
"63824","2016","6","55","2","MG","MDB","PASSAGEM AÉREA",65,624,53,15248681,35720.85,56208.37,115,"784"
"166587","2016","6","55","2","RS","REDE","LOCAÇÃO DE AUTOMÓVEIS",NA,1619,31,8392033,40504.04,2550,1,"2049"
"134049","2016","6","55","2","RJ","PSOL","SERVIÇOS POSTAIS",5,933,46,12141145,35388.11,1765.57,13,"1626"
"36042","2016","6","55","2","CE","PCdoB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",10,1687,22,6271554,42079.91,386.57,1,"420"
"160072","2016","6","55","2","RR","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,2496,8,299558,45240.67,4100,1,"1917"
"14459","2016","7","55","2","AP","MDB","PASSAGEM AÉREA",65,1791,8,455514,43002.92,2701,8,"168"
"80357","2016","7","55","2","MS","PDT","TELEFONIA",20,878,8,1818937,40170.98,4677.17,11,"958"
"111924","2016","7","55","2","PE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1657,25,6356307,41304.94,7747.41,13,"1300"
"20135","2016","7","55","2","BA","PCdoB","PASSAGEM AÉREA",10,1060,39,10185417,38638.99,37982.73,118,"217"
"12246","2016","7","55","2","AM","REPUBLICANOS","LOCAÇÃO OU FRETAMENTO DE AERONAVES",21,1932,8,2226891,43198.26,9000,1,"138"
"188239","2016","7","55","2","SP","PSB","SERVIÇOS POSTAIS",34,873,70,31998432,36671.67,1397.38,14,"2203"
"68766","2016","7","55","2","MG","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,624,53,15248681,35720.85,21850.77,84,"859"
"15557","2016","7","55","2","AP","PDT","PASSAGEM AÉREA",20,1791,8,455514,43002.92,13504.69,33,"183"
"205222","2016","7","55","2","TO","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,620,8,996887,39131.75,10000,1,"2418"
"163109","2016","8","55","2","RS","PSB","SERVIÇOS POSTAIS",34,1619,31,8392033,40504.04,875.25,2,"1972"
"166090","2016","8","55","2","RS","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1619,31,8392033,40504.04,11732.93,12,"2036"
"70411","2016","8","55","2","MG","PCdoB","PASSAGEM AÉREA",10,624,53,15248681,35720.85,21982.24,51,"892"
"136683","2016","8","55","2","RJ","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,933,46,12141145,35388.11,533.12,3,"1690"
"119065","2016","8","55","2","PI","MDB","PASSAGEM AÉREA",65,1313,10,2345694,40599.91,11706,34,"1440"
"35588","2016","8","55","2","CE","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,1687,22,6271554,42079.91,50,1,"418"
"109813","2016","8","55","2","PE","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1657,25,6356307,41304.94,414.3,1,"1281"
"93972","2016","8","55","2","PA","CIDADANIA","COMBUSTÍVEIS E LUBRIFICANTES",10,1592,17,5188450,41855.59,5295.19,5,"1091"
"32962","2016","8","55","2","CE","PTB","TELEFONIA",25,1687,22,6271554,42079.91,1396.06,7,"362"
"119141","2016","9","55","2","PI","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1313,10,2345694,40599.91,2233.38,6,"1407"
"154341","2016","9","55","2","RO","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1900,8,1127154,43300.63,3500,2,"1816"
"159522","2016","9","55","2","RR","DEM","TELEFONIA",21,2496,8,299558,45240.67,949.38,9,"1859"
"204329","2016","9","55","2","TO","PROS","TELEFONIA",11,620,8,996887,39131.75,1922.12,7,"2350"
"52030","2016","9","55","2","GO","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,173,17,4331733,35135.2,4000,1,"604"
"178185","2016","9","55","2","SC","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1314,16,4859324,39505.92,9625.9,19,"2064"
"152975","2016","9","55","2","RO","MDB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",65,1900,8,1127154,43300.63,11.99,1,"1791"
"64966","2016","9","55","2","MG","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,624,53,15248681,35720.85,3503.79,2,"798"
"196950","2016","9","55","2","SP","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,778.81,9,"2277"
"119635","2016","10","55","2","PI","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1313,10,2345694,40599.91,10000,2,"1411"
"96718","2016","10","55","2","PA","CIDADANIA","SERVIÇOS POSTAIS",10,1592,17,5188450,41855.59,53.4,1,"1135"
"124264","2016","10","55","2","PR","PSL","TELEFONIA",1,1081,30,7865950,38500,2109.56,7,"1499"
"195294","2016","10","55","2","SP","DEM","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",21,873,70,31998432,36671.67,3960,1,"2256"
"98651","2016","10","55","2","PB","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1716,12,2835882,41660.7,104.02,1,"1176"
"7736","2016","10","55","2","AL","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1485,9,1995727,40572.24,3390,1,"85"
"44216","2016","10","55","2","ES","PP","SERVIÇOS POSTAIS",38,947,10,2653536,37052.05,34.64,3,"554"
