"","ano","distancia","eleitores","valor","orig.id"
"3572","2015",1060,10185417,8407.78,"408"
"7676","2015",1524,4497336,118100,"963"
"24760","2015",873,31998432,344148.01,"3029"
"20344","2015",1900,1127154,44575.28,"2441"
"6779","2015",173,4331733,40331.21,"813"
"49","2015",2246,506724,46798.34,"13"
"4550","2015",1687,6271554,3500,"570"
"8659","2015",624,15248681,15525.15,"1065"
"7547","2015",1524,4497336,2338.87,"934"
"6385","2015",947,2653536,22427.32,"786"
"18346","2015",933,12141145,19204.39,"2284"
"5553","2015",0,1897677,264170,"684"
"9456","2015",624,15248681,160496.79,"1098"
"17372","2015",1081,7865950,118264,"2062"
"5841","2015",947,2653536,25157.23,"731"
"16045","2015",1081,7865950,9905.75,"1935"
"17290","2015",1081,7865950,68102,"2043"
"12263","2015",1592,5188450,60.1,"1398"
"16868","2015",1081,7865950,3876.96,"1955"
"7039","2015",173,4331733,31643.33,"874"
"139","2015",2246,506724,3797.58,"32"
"1983","2015",1791,455514,70860.6,"241"
"22740","2015",1314,4859324,24292.68,"2725"
"13108","2015",1716,2835882,61830,"1578"
"5914","2015",947,2653536,106663.16,"753"
"14577","2015",1657,6356307,111095.58,"1718"
"19867","2015",1775,2327451,9600,"2392"
"12484","2015",1592,5188450,45514.72,"1454"
"4675","2015",1687,6271554,65000,"601"
"1962","2015",1791,455514,21169.63,"234"
"6748","2015",173,4331733,45,"805"
"17909","2015",933,12141145,50232.2,"2180"
"22561","2015",1619,8392033,161823.74,"2696"
"4554","2015",1687,6271554,79609.77,"573"
"10741","2015",878,1818937,100200,"1251"
"594","2015",2246,506724,15124.85,"60"
"11453","2015",873,2189703,91708.12,"1363"
"24354","2015",873,31998432,224231.38,"2932"
"8397","2015",1524,4497336,101363.23,"1004"
"12430","2015",1592,5188450,40282.68,"1437"
"22408","2015",1619,8392033,88257.69,"2669"
"15901","2015",1313,2345694,58729.11,"1904"
"12807","2015",1592,5188450,11512.2,"1523"
"17065","2015",1081,7865950,14014.74,"1986"
"7690","2015",1524,4497336,123000,"967"
"22593","2015",1619,8392033,12728.07,"2699"
"861","2015",1485,1995727,42,"66"
"17075","2015",1081,7865950,536.6,"1989"
"17082","2015",1081,7865950,3240.49,"1990"
"5902","2015",947,2653536,1670.8,"748"
"17408","2015",1081,7865950,5062.7,"2069"
"23906","2015",1292,1454165,11484.67,"2875"
"10157","2015",624,15248681,24169.8,"1150"
"20952","2015",2496,299558,4205.37,"2506"
"22750","2015",1314,4859324,322.73,"2727"
"10123","2015",624,15248681,57940.22,"1144"
"3311","2015",1060,10185417,5040.6,"375"
"25325","2015",873,31998432,800,"3087"
"10460","2015",624,15248681,540429.05,"1220"
"22450","2015",1619,8392033,2231.1,"2677"
"22804","2015",1314,4859324,50379.75,"2739"
"17243","2015",1081,7865950,225268,"2030"
"19526","2015",1775,2327451,350,"2378"
"26180","2015",620,996887,158980,"3122"
"26234","2015",620,996887,354.9,"3134"
"12441","2015",1592,5188450,1042.6,"1438"
"14271","2015",1657,6356307,86957.05,"1654"
"18468","2015",933,12141145,48052.08,"2310"
"1144","2015",1485,1995727,129000,"130"
"4521","2015",1687,6271554,39450,"564"
"18214","2015",933,12141145,69,"2248"
"17610","2015",1081,7865950,4532.8,"2122"
"13761","2015",1716,2835882,33530,"1644"
"6288","2015",947,2653536,101200,"766"
"5891","2015",947,2653536,22621.28,"745"
"10176","2015",624,15248681,64500,"1152"
"10042","2015",624,15248681,101196.82,"1125"
"12426","2015",1592,5188450,1612.06,"1436"
"1392","2015",1932,2226891,207,"170"
"3053","2015",1060,10185417,8693.57,"312"
"17952","2015",933,12141145,2100,"2188"
"22364","2015",1619,8392033,160007,"2661"
"4429","2015",1687,6271554,5309.68,"542"
"22187","2015",1619,8392033,41721.79,"2619"
"18199","2015",933,12141145,34947.12,"2245"
"24703","2015",873,31998432,55197.5,"3018"
"6922","2015",173,4331733,367537.5,"852"
"4802","2015",1687,6271554,17284.92,"633"
"17063","2015",1081,7865950,131165.07,"1985"
"21408","2015",1619,8392033,104846.9,"2607"
"4819","2015",1687,6271554,3056.37,"638"
"18020","2015",933,12141145,3312,"2208"
"10942","2015",878,1818937,113308,"1295"
"24558","2015",873,31998432,154800,"2979"
"20893","2015",2496,299558,7031.78,"2493"
"14982","2015",1657,6356307,280938.63,"1800"
"23879","2015",1292,1454165,40565.13,"2869"
"10438","2015",624,15248681,20,"1211"
"1875","2015",1791,455514,822.64,"220"
"12505","2015",1592,5188450,2500,"1459"
"1895","2015",1791,455514,39278.78,"223"
"26221","2015",620,996887,2800,"3130"
"17288","2015",1081,7865950,33595.43,"2041"
