"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"98935","2015","2","55","1","PE","PDT","PASSAGEM AÉREA",20,1657,25,6356307,41304.94,13172.66,"1084"
"139295","2015","2","55","1","RO","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,1900,8,1127154,43300.63,10000,"1595"
"122505","2015","2","55","1","RJ","DEM","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,933,46,12141145,35388.11,2725.75,"1429"
"143489","2015","2","55","1","RR","PL","LOCAÇÃO DE AUTOMÓVEIS",34,2496,8,299558,45240.67,18068.12,"1617"
"62983","2015","2","55","1","MG","SOLIDARIEDADE","LOCAÇÃO DE AUTOMÓVEIS",15,624,53,15248681,35720.85,10000,"754"
"98033","2015","2","55","1","PE","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1657,25,6356307,41304.94,20000,"1066"
"184236","2015","2","55","1","TO","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,620,8,996887,39131.75,12100,"2061"
"175811","2015","2","55","1","SP","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,873,70,31998432,36671.67,22000,"1939"
"121109","2015","2","55","1","RJ","REPUBLICANOS","TELEFONIA",21,933,46,12141145,35388.11,1509,"1393"
"149378","2015","2","55","1","RS","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1619,31,8392033,40504.04,9751.69,"1709"
"72111","2015","2","55","1","MS","DEM","PASSAGEM AÉREA",21,878,8,1818937,40170.98,16928.47,"813"
"22950","2015","2","55","1","BA","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1060,39,10185417,38638.99,5821.15,"281"
"122895","2015","2","55","1","RJ","PSL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",1,933,46,12141145,35388.11,231.33,"1436"
"87254","2015","2","55","1","PB","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1716,12,2835882,41660.7,3300,"991"
"49863","2015","2","55","1","MA","PV","LOCAÇÃO DE AUTOMÓVEIS",8,1524,18,4497336,41779.83,5000,"570"
"107276","2015","2","55","1","PI","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1313,10,2345694,40599.91,1566.88,"1218"
"103407","2015","2","55","1","PE","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1657,25,6356307,41304.94,12468.25,"1178"
