"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"60709",117429,"2015","2","55","1","MA","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1524,18,4497336,41779.83,4500,9,"5"
"56155",152887,"2015","2","55","1","MA","PSDB","DIVULGAÇÃO MANDATO",54,1524,18,4497336,41779.83,30600,2,"1"
"60867",194676,"2015","2","55","1","MA","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1524,18,4497336,41779.83,177,5,"8"
"59896",12747,"2015","2","55","1","MA","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,1524,18,4497336,41779.83,4500,1,"6"
"58208",193801,"2015","2","55","1","MA","PV","MANUTENÇÃO DE ESCRITÓRIO",8,1524,18,4497336,41779.83,2386.94,5,"3"
"59084",91605,"2015","2","55","1","MA","REPUBLICANOS","TELEFONIA",21,1524,18,4497336,41779.83,1627.59,5,"3"
"77474",88938,"2015","2","55","1","MG","AVANTE","TELEFONIA",2,624,53,15248681,35720.85,2240.09,13,"5"
"64174",67655,"2015","2","55","1","MG","DEM","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,624,53,15248681,35720.85,2240,7,"1"
"70108",29312,"2015","2","55","1","MG","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,624,53,15248681,35720.85,22669.47,81,"10"
"78427",61036,"2015","2","55","1","MG","PCdoB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",10,624,53,15248681,35720.85,23.7,1,"9"
"78170",122389,"2015","2","55","1","MG","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,624,53,15248681,35720.85,1918.33,14,"8"
"64825",70359,"2015","2","55","1","MG","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,624,53,15248681,35720.85,164,3,"1"
"70304",30089,"2015","2","55","1","MG","PODEMOS","SERVIÇOS POSTAIS",9,624,53,15248681,35720.85,318.45,9,"6"
"79112",110749,"2015","2","55","1","MG","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,624,53,15248681,35720.85,686.07,26,"13"
"65136",131648,"2015","2","55","1","MG","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,624,53,15248681,35720.85,8526.24,50,"3"
"68543",184747,"2015","2","55","1","MG","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,624,53,15248681,35720.85,3615,2,"3"
"65680",73653,"2015","2","55","1","MG","PSD","DIVULGAÇÃO MANDATO",36,624,53,15248681,35720.85,19057.9,5,"4"
"64029",43467,"2015","2","55","1","MG","PSDB","SERVIÇOS POSTAIS",54,624,53,15248681,35720.85,3631.04,68,"1"
"64469",116132,"2015","2","55","1","MG","PSL","SERVIÇOS POSTAIS",1,624,53,15248681,35720.85,45.59,2,"2"
"79212",137902,"2015","2","55","1","MG","PT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",68,624,53,15248681,35720.85,306.14,1,"12"
"65008",131889,"2015","2","55","1","MG","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,624,53,15248681,35720.85,1332.33,2,"1"
"80462",96673,"2015","2","55","1","MS","DEM","TELEFONIA",21,878,8,1818937,40170.98,4546.36,16,"4"
"83726",192219,"2015","2","55","1","MS","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,878,8,1818937,40170.98,4431.41,8,"4"
"80148",49994,"2015","2","55","1","MS","PDT","PASSAGEM AÉREA",20,878,8,1818937,40170.98,5560.27,9,"1"
"81235",50247,"2015","2","55","1","MS","PSB","PASSAGEM AÉREA",34,878,8,1818937,40170.98,1344.68,2,"1"
"80709",39130,"2015","2","55","1","MS","PSDB","DIVULGAÇÃO MANDATO",54,878,8,1818937,40170.98,38250,5,"3"
"80551",1121,"2015","2","55","1","MS","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,878,8,1818937,40170.98,1517.5,9,"1"
"84396",11298,"2015","2","55","1","MT","DEM","SERVIÇOS POSTAIS",21,873,8,2189703,39056.17,183.3,2,"1"
"88556",36518,"2015","2","55","1","MT","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,873,8,2189703,39056.17,6993.04,30,"7"
"84427",87693,"2015","2","55","1","MT","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,873,8,2189703,39056.17,520.18,9,"1"
"85010",140210,"2015","2","55","1","MT","PSDB","TELEFONIA",54,873,8,2189703,39056.17,1454.91,7,"3"
"88756",166178,"2015","2","55","1","MT","PSL","DIVULGAÇÃO MANDATO",1,873,8,2189703,39056.17,11980,1,"6"
"84726",107539,"2015","2","55","1","MT","PT","PASSAGEM AÉREA",68,873,8,2189703,39056.17,6752.46,23,"6"
