"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"40880",185104,"2015","4","55","1","DF","PODEMOS","DIVULGAÇÃO MANDATO",9,0,8,1897677,30416.8,38140,3,"16"
"44966",118622,"2015","4","55","1","ES","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,947,10,2653536,37052.05,699.35,10,"45"
"54243",78691,"2015","4","55","1","GO","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,173,17,4331733,35135.2,142.89,3,"74"
"53807",186495,"2015","4","55","1","GO","PT","MANUTENÇÃO DE ESCRITÓRIO",68,173,17,4331733,35135.2,9329.96,7,"57"
"60060",12824,"2015","4","55","1","MA","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1524,18,4497336,41779.83,4000,1,"88"
"59109",170150,"2015","4","55","1","MA","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1524,18,4497336,41779.83,6828.95,6,"66"
"66337",9844,"2015","4","55","1","MG","PCdoB","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",10,624,53,15248681,35720.85,10,1,"55"
"64183",42821,"2015","4","55","1","MG","PDT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",20,624,53,15248681,35720.85,1369,2,"9"
"78271",183758,"2015","4","55","1","MG","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,624,53,15248681,35720.85,35505.64,39,"137"
"79682",123080,"2015","4","55","1","MS","PDT","PASSAGEM AÉREA",20,878,8,1818937,40170.98,7607.62,15,"2"
"84863",96217,"2015","4","55","1","MT","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,873,8,2189703,39056.17,4900,24,"26"
"96115",2203,"2015","4","55","1","PA","PSD","SERVIÇOS POSTAIS",36,1592,17,5188450,41855.59,19.73,2,"79"
"96532",97076,"2015","4","55","1","PA","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1592,17,5188450,41855.59,8000,1,"92"
"99890",83972,"2015","4","55","1","PB","PSB","TELEFONIA",34,1716,12,2835882,41660.7,1842.04,11,"59"
"98455",195566,"2015","4","55","1","PB","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1716,12,2835882,41660.7,600.02,1,"31"
"113779",185183,"2015","4","55","1","PE","AVANTE","ASSESSORIA TÉCNICA/JURÍDICA",2,1657,25,6356307,41304.94,21300,2,"110"
"114773",64012,"2015","4","55","1","PE","PCdoB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1657,25,6356307,41304.94,459.59,7,"125"
"116205",198061,"2015","4","55","1","PI","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1313,10,2345694,40599.91,10900,3,"8"
"126265",158884,"2015","4","55","1","PR","PSDB","PASSAGEM AÉREA",54,1081,30,7865950,38500,30903.38,110,"107"
"122141",19851,"2015","4","55","1","PR","PSB","SERVIÇOS POSTAIS",34,1081,30,7865950,38500,570.03,12,"42"
"127009",205805,"2015","4","55","1","PR","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,1081,30,7865950,38500,448.6,4,"124"
"138795",159386,"2015","4","55","1","RJ","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,933,46,12141145,35388.11,3340.02,44,"141"
"140034",119933,"2015","4","55","1","RJ","REDE","SERVIÇOS POSTAIS",NA,933,46,12141145,35388.11,174.07,4,"162"
"137203",35718,"2015","4","55","1","RJ","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,933,46,12141145,35388.11,6700,1,"105"
"150587",65292,"2015","4","55","1","RN","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1775,8,2327451,42360.13,3119.66,29,"43"
"154133",18921,"2015","4","55","1","RO","PL","TELEFONIA",34,1900,8,1127154,43300.63,195.66,5,"34"
"159960",153250,"2015","4","55","1","RR","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,2496,8,299558,45240.67,4900,17,"35"
"162581",103953,"2015","4","55","1","RS","PTB","PASSAGEM AÉREA",25,1619,31,8392033,40504.04,47481.85,81,"11"
"167927",58580,"2015","4","55","1","RS","PTB","ASSESSORIA TÉCNICA/JURÍDICA",25,1619,31,8392033,40504.04,24480,4,"125"
"178136",175721,"2015","4","55","1","SC","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,1314,16,4859324,39505.92,1372.95,5,"46"
"176506",181592,"2015","4","55","1","SC","PT","SERVIÇOS POSTAIS",68,1314,16,4859324,39505.92,1489.24,15,"10"
"180895",94230,"2015","4","55","1","SE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1292,8,1454165,39767.4,4388.09,1,"9"
"189595",31106,"2015","4","55","1","SP","PSOL","MANUTENÇÃO DE ESCRITÓRIO",5,873,70,31998432,36671.67,15227.17,9,"44"
"195122",83071,"2015","4","55","1","SP","CIDADANIA","MANUTENÇÃO DE ESCRITÓRIO",10,873,70,31998432,36671.67,27673.4,23,"80"
"198734",193028,"2015","4","55","1","SP","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,873,70,31998432,36671.67,506.28,17,"164"
"204484",97356,"2015","4","55","1","TO","PL","SERVIÇOS POSTAIS",34,620,8,996887,39131.75,43.17,3,"22"
"1152",196567,"2015","5","55","1","AC","PT","DIVULGAÇÃO MANDATO",68,2246,8,506724,44260.6,11943,5,"15"
"8260",185310,"2015","5","55","1","AL","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1485,9,1995727,40572.24,2612.23,10,"44"
"9058",172036,"2015","5","55","1","AM","DEM","PASSAGEM AÉREA",21,1932,8,2226891,43198.26,2874.75,29,"2"
"16141",185712,"2015","5","55","1","AP","PODEMOS","DIVULGAÇÃO MANDATO",9,1791,8,455514,43002.92,13750,1,"56"
"22182",96898,"2015","5","55","1","BA","PTB","TELEFONIA",25,1060,39,10185417,38638.99,2309.68,9,"42"
"23065",350,"2015","5","55","1","BA","MDB","ASSINATURA DE PUBLICAÇÕES",65,1060,39,10185417,38638.99,150,2,"64"
"36337",42253,"2015","5","55","1","CE","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1687,22,6271554,42079.91,1715.28,12,"78"
"34318",106736,"2015","5","55","1","CE","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1687,22,6271554,42079.91,2215.96,28,"49"
"41983",148433,"2015","5","55","1","DF","PL","DIVULGAÇÃO MANDATO",34,0,8,1897677,30416.8,13600,1,"41"
"45145",118326,"2015","5","55","1","ES","PP","TELEFONIA",38,947,10,2653536,37052.05,5575.71,18,"50"
"53125",123189,"2015","5","55","1","GO","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,173,17,4331733,35135.2,780,2,"41"
"54595",59435,"2015","5","55","1","GO","PTB","MANUTENÇÃO DE ESCRITÓRIO",25,173,17,4331733,35135.2,10595.05,3,"81"
"59640",2734,"2015","5","55","1","MA","PODEMOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",9,1524,18,4497336,41779.83,5488.8,6,"77"
"59498",158942,"2015","5","55","1","MA","PDT","DIVULGAÇÃO MANDATO",20,1524,18,4497336,41779.83,12480,1,"73"
"78662",138043,"2015","5","55","1","MG","PSL","ASSESSORIA TÉCNICA/JURÍDICA",1,624,53,15248681,35720.85,5000,1,"143"
"66713",10558,"2015","5","55","1","MG","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,624,53,15248681,35720.85,19913.07,109,"59"
"78689",136048,"2015","5","55","1","MG","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,624,53,15248681,35720.85,153.7,4,"145"
"81143",197669,"2015","5","55","1","MS","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,878,8,1818937,40170.98,10000,1,"25"
"87927",155040,"2015","5","55","1","MT","PSL","PASSAGEM AÉREA",1,873,8,2189703,39056.17,8000.76,16,"41"
"89959",158080,"2015","5","55","1","PA","DEM","DIVULGAÇÃO MANDATO",21,1592,17,5188450,41855.59,23000,5,"26"
"94559",203118,"2015","5","55","1","PA","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,1592,17,5188450,41855.59,3584.58,24,"54"
"97517",16142,"2015","5","55","1","PB","DEM","SERVIÇOS POSTAIS",21,1716,12,2835882,41660.7,1203.18,13,"8"
"98175",170360,"2015","5","55","1","PB","PDT","PASSAGEM AÉREA",20,1716,12,2835882,41660.7,8062.06,16,"22"
"114442",75437,"2015","5","55","1","PE","CIDADANIA","PASSAGEM AÉREA",10,1657,25,6356307,41304.94,27939.84,88,"128"
"109135",25975,"2015","5","55","1","PE","CIDADANIA","TELEFONIA",10,1657,25,6356307,41304.94,3085.89,18,"12"
"118818",188755,"2015","5","55","1","PI","PT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",68,1313,10,2345694,40599.91,283,1,"41"
"122260",124888,"2015","5","55","1","PR","MDB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",65,1081,30,7865950,38500,196.71,1,"42"
"121193",103675,"2015","5","55","1","PR","PSC","SERVIÇOS POSTAIS",13,1081,30,7865950,38500,381.03,9,"25"
"126964",155914,"2015","5","55","1","PR","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1081,30,7865950,38500,7168.94,19,"128"
"133466",172462,"2015","5","55","1","RJ","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",21,933,46,12141145,35388.11,24000,2,"9"
"133225",20713,"2015","5","55","1","RJ","PROS","DIVULGAÇÃO MANDATO",11,933,46,12141145,35388.11,16000,1,"3"
