"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"15488","2015","55","1","PR","PSC","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",13,1081,30,7865950,38500,832.15,"6"
"15695","2015","55","1","PR","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1081,30,7865950,38500,530,"11"
"15471","2015","55","1","PR","PSDB","ASSINATURA DE PUBLICAÇÕES",54,1081,30,7865950,38500,540.82,"6"
"15482","2015","55","1","PR","PSL","DIVULGAÇÃO MANDATO",1,1081,30,7865950,38500,102335.73,"4"
"15752","2015","55","1","PR","PT","MANUTENÇÃO DE ESCRITÓRIO",68,1081,30,7865950,38500,79761.11,"10"
"15521","2015","55","1","PR","PTB","ASSESSORIA TÉCNICA/JURÍDICA",25,1081,30,7865950,38500,23552.95,"5"
"14419","2015","55","1","PR","PV","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",8,1081,30,7865950,38500,3797.65,"1"
"15897","2015","55","1","RJ","DEM","TELEFONIA",21,933,46,12141145,35388.11,101859.94,"1"
"16634","2015","55","1","RJ","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,933,46,12141145,35388.11,182304.8,"10"
"16072","2015","55","1","RJ","PATRIOTA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",5,933,46,12141145,35388.11,501.71,"5"
"16336","2015","55","1","RJ","PCdoB","DIVULGAÇÃO MANDATO",10,933,46,12141145,35388.11,26724,"5"
"16033","2015","55","1","RJ","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,933,46,12141145,35388.11,5141.13,"2"
"16474","2015","55","1","RJ","PL","SERVIÇOS POSTAIS",34,933,46,12141145,35388.11,9522.54,"7"
"16010","2015","55","1","RJ","PODEMOS","SERVIÇOS POSTAIS",9,933,46,12141145,35388.11,778.25,"1"
"16624","2015","55","1","RJ","PP","MANUTENÇÃO DE ESCRITÓRIO",38,933,46,12141145,35388.11,172785.03,"7"
"16506","2015","55","1","RJ","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,933,46,12141145,35388.11,6961.37,"8"
"16177","2015","55","1","RJ","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,933,46,12141145,35388.11,1281.37,"2"
"15949","2015","55","1","RJ","PSD","SERVIÇOS POSTAIS",36,933,46,12141145,35388.11,19150.22,"2"
"16254","2015","55","1","RJ","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,933,46,12141145,35388.11,129593.3,"5"
"16015","2015","55","1","RJ","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,933,46,12141145,35388.11,3539.42,"2"
"16358","2015","55","1","RJ","PSOL","SERVIÇOS POSTAIS",5,933,46,12141145,35388.11,10603.25,"5"
